0	(re)zip	Booth: N2046	['Austin,', 'TX', 'United States']	Rezip Co. designs thoughtful products to help  consumers live a simpler, greener lifestyle. (re)zip® Reusable Storage Bags are the original  food-safe, lightweight, leakproof, freezer-safe  reusable bags. They are designed to simplify  food storage, and make it easy  for consumers to consciously reduce single-use  plastic baggies. (re)zip Reusable Storage Bags  are available in an assortment of sizes and styles  to accommodate a variety of uses including food  prep, pantry storage, organization, and more	Brands: Rezip	['Home', 'Pet', 'Special Attributes']	[['Household Supplies', 'Kitchen & Dining', 'Miscellaneous'], ['Pet Food - Cat', 'Pet Food - Dog'], ['Sustainability']]
37	Acetum	Booth: N820	['Clifton,', 'NJ', 'United States']	N/A	Brands: Acetum & Mazzetti	['Condiments & Sauces', 'Packaging', 'Special Attributes']	[['Salad Dressings', 'Condiments & Sauces'], ['Glass Bottles'], ['Dairy Free', 'Egg Free', 'Gluten/Wheat Free', 'Specialty/Gourmet', 'Vegan']]
38	Acorus	Booth: 4314	['Svencionys,', 'Lithuania']	Acorus Calamus is herb processing factories in Europe and often named as manufacturer which create a trends for herbal products. W are often named “experts of herbs” as the new innovative products are being constantly created. Starting with loose weighed tea, one-chamber square bags and pyramid tea bags and ending with the enveloped tea bags manufacturer satisfies all partners requirements.	Brands: ACORUS, ETNO, SVF	['Beverages', 'Herbs & Functional Foods', 'Raw Ingredients', 'Special Attributes', 'Supplements']	[['Tea & Infusions'], ['Herbs & Functional Foods'], ['Herbs', 'Probiotics', 'Vitamins'], ['Organic Food & Bev'], ['Antioxidants', 'Collagen', 'Fitness & Weight Management', 'Hair, Skin & Nail Supplements', 'Melatonin & Sleep Aids']]
39	Active Fibershake USA Inc.	Booth: 3799	['Fort Lauderdale,', 'FL', 'United States']	N/A	N/A	[]	[]
40	Actual Veggies	Booth: 5654	['New York,', 'NY', 'United States']	Actual Veggies makes naturally colorful, delicious and filling chef-crafted veggie burgers. Unlike other plant-based meats, Actual Veggies’ burgers taste like veggies – making them a tasty option for anyone (meat-eaters and vegans) who likes veggies and looking for a healthier alternative to traditional burgers.  Each quarter pound patty is made just from veggies, beans and spices and contains 6-8 grams of clean protein and 8-10 grams of fiber with no saturated fat.	N/A	['Special Attributes']	[['Allergy Free', 'Dairy Free', 'Egg Free', 'Food Service Ready', 'Kosher/Parve', 'Vegan']]
41	ACURE	Booth: 2915	['Fort Lauderdale,', 'FL', 'United States']	ACURE believes in the power of purity to uplift the way you feel! We want to see every action you take lead to a stronger, healthier, more vibrant you. We are on a mission to take hair & skin from blah to brilliant by boosting their performance with powerful combinations of amazing ingredients. 100% VEGAN. 0% PRETENTIOUS. Paraben free, Sulfate free, Mineral oil free, Petrolatum free, Formaldehyde free, Cruelty free™	N/A	['Cosmetics Personal Care', 'Special Attributes']	[['Hair Care', 'Bath & Body', 'Facial Care'], ['Cruelty-Free', 'Vegan']]
42	Adams Vegetable Oils, Inc.	Booth: 1962	['Arbuckle,', 'CA', 'United States']	Adams Vegetable Oils, Inc. is the largest organic oil producer in the USA. Founded in 1981, Adams has been supplying bulk vegetable oils and blends to the food, cosmetic, infant nutrition and pharmaceutical industries for nearly 40 years. Specializing in non-gmo and organic oils Adams is committed to quality and customer service.  Adams will be manufacturing Organic Lecithin Products in 2019 - Soy, Sunflower and Canola for your infant nutrition, confectionery, food and processing agent needs.	Brands: A proud tradition of innovation and success spanning over four generations and almost 90 years has seen the business grow to include Adams Grain, Adams Vegetable Oils, Adams Trucking, Adams Australia  Adams Seed and Marianne's Harvest Brands.	['Baby Food', 'Special Attributes', 'Raw Ingredients']	[['Baby Food Shelf'], ['Kosher/Parve', 'Organic Food & Bev', 'Organic Ingredients'], ['Fats & Oils']]
43	Addedbiome	Booth: 5646	['Seoul,', 'Korea, Republic of']	N/A	N/A	[]	[]
44	Adgile Media Group	Booth: 5098B	['New York,', 'NY', 'United States']	N/A	N/A	['Services']	[['Customer Services', 'Internet Services']]
45	ADM	Booth: 4042	['Decatur,', 'IL', 'United States']	ADM combines the most extensive, innovative and on-trend range of ingredients with an unrivaled breadth and depth of expertise to provide you with value-added services from plant to plate. Whether you’re looking for colors from nature, natural flavors, plant-based ingredients, sweeteners or clean-label solutions, make ADM your problem-solving partner. We’ll work with you to deliver the insights, ingredients and tastes that satisfy today’s evolving consumer preferences.  Visit booth 3005.	N/A	['Raw Ingredients', 'Bakery', 'Baking & Cooking Ingredients', 'Beverages', 'Dairy Alternatives', 'Meat Alternatives', 'Services', 'Snacks', 'Special Attributes', 'Supplements']	[['**flavors', 'Fats & Oils', 'Probiotics', 'Sugar'], ['Bread', 'Cookies'], ['Extracts & Food Coloring', 'Honey & Syrups', 'Sugar', 'Sugar Substitutes & Sweeteners'], ['Drink Mixers & Syrups', 'Powdered Drink Mixes', 'Protein Shakes (ready-to-drink)', 'Soda', 'Sparkling Water & Seltzer', 'Sports & Energy Drinks', 'Tea & Infusions'], ['Egg Substitutes', 'Margarines & Butter Substitutes', 'Plant-based Kefir & Drinkable Yogurt', 'Plant-based Yogurt'], ['Plant-based Fish & Seafood', 'Plant-based Meat', 'Plant-based Poultry', 'Plant-based Sausage'], ['Incubation/Acceleration'], ['Energy & Nutrition Bars'], ['Allergy Free', 'Convenience', 'Dairy Free', 'Egg Free', 'Flavorings', 'Functional Beverage', 'Functional Food', 'Gluten/Wheat Free', 'Soy Beverages', 'Soy Foods', 'Special Diet'], ['Amino Acids', 'Fitness & Weight Management', 'Hair, Skin & Nail Supplements', 'Probiotics & Digestion']]
46	Adult Non-Alcoholic Beverage Association	Booth: 4398C	['Ranchos de Taos,', 'NM', 'United States']	N/A	N/A	[]	[]
47	Advance Pet Product	Booth: 2929	['Waterford,', 'MI', 'United States']	We are are a distributor and manufacturer of quality pet products since 1995. We have a long range  of  natural pet toys, handcrafted and made from all-natural material. We have a full range of natural Water Buffalo treats such as ears, esophagus, and collagen chews. With an assortment of stainless-steel, hygienic, pet-safe bowls and feeding dishes, including our patented unspill-a-bowls for pets of all sizes.	Brands: Advance Pet Product	['Pet']	[['Pet Food - Cat', 'Pet Food - Dog', 'Pet Care']]
48	Advanced Nutraceuticals BV	Booth: 4247	['Amsterdam,', 'Netherlands']	N/A	N/A	[]	[]
49	Advanced Nutrition by Zahler	Booth: 7904	['New Milford,', 'NJ', 'United States']	Zahler is a 3rd-generation family company proudly continuing the work of legendary founder Rachel Zahler, PhD. Growing from her inspiring, one-on-one consultation service, the Zahler family felt the need for better, smarter nutritional solutions. Nature knows best, and it's a superiority we respect. That's why we flat-out insist on the real stuff searching the globe for the purest ingredients. Cutting costs isn't a good enough reason to mess with it. Think of Zahler as nature—nurtured.	Brands: Advanced Nutrition by Zahler	['Special Attributes', 'Supplements', 'Vitamins & Minerals']	[['Allergy Free', 'Dairy Free', 'Kosher/Parve'], ['Amino Acids', 'Antioxidants', 'Eye Health Supplements', 'Fitness & Weight Management', 'Glucosamine & Joint Health', 'Hair, Skin & Nail Supplements', 'Melatonin & Sleep Aids', 'Omegas, Fish Oil & EFAs', 'Probiotics & Digestion', 'Superfood & Greens Blends'], ["Children's Vitamins", 'Minerals', 'Multivitamins', 'Vitamins']]
50	Advanced Orthomolecular Research (AOR)	Booth: 4776	['Clifton,', 'NJ', 'United States']	At AOR, we believe that truth and transparency are the most important values for any organization to uphold. It is through ethical discipline and evidenced-based science that we lead and advance the natural health industry. We exist to create safe, effective, and therapeutic solutions from nature herself, so you can always trust that we deliver the right molecule in the right dose, at the right place, at the right time.	N/A	[]	[]
51	Advantage Solutions	Booth: 2641	['Irvine,', 'CA', 'United States']	N/A	N/A	[]	[]
52	AEGEAN EXPORTERS' ASSOCIATIONS	Booth: 5233, 5133	['IZMIR,', 'TURKEY', 'Türkiye']	N/A	N/A	['Adult Beverages', 'Baby Food', 'Bakery', 'Baking & Cooking Ingredients', 'Beverages', 'Breakfast', 'Candy', 'Condiments & Sauces', 'Dairy & Eggs', 'Dairy Alternatives', 'Dried Beans, Rice & Grains', 'Fresh Fruit & Vegetables', 'Frozen', 'Herbs & Functional Foods', 'Home', 'Juice', 'Meat & Seafood', 'Meat Alternatives', 'Media', 'Miscellaneous', 'Packaging', 'Pasta Sauce & Noodles', 'Pet', 'Raw Ingredients', 'Seasonings & Spices', 'Snacks', 'Soups & Canned Goods', 'Supplements', 'Vitamins & Minerals']	[['Beer', 'Non-Alcoholic Beer', 'Non-Alcoholic Cocktails', 'Non-Alcoholic Liquor & Spirits', 'Non-Alcoholic Sparkling Beverages', 'Non-Alcoholic Wine', 'Pre-mixed Alcoholic Drinks', 'Syrups & Bitters', 'Wine'], ['Baby Food Shelf'], ['Bagels', 'Bread', 'Cakes', 'Cookies', 'Cream Puffs & Eclairs', 'Cupcakes', 'Dessert Bars', 'Donuts', 'Flatbread', 'Fudge', 'Ice Cream Cones', 'Melba Toast & Hard Breadsticks', 'Muffins', 'Pastries & Scones', 'Pie Crusts & Pastry Sheets', 'Pies & Tarts', 'Pizza Crusts', 'Rolls', 'Taco Shells & Tostadas', 'Tortillas & Wraps', 'Waffles'], ['Baking & Cooking Mixes', 'Baking & Cooking Pastes', 'Baking Chips & Chocolate', 'Baking Powder, Baking Soda & Yeast', 'Bread Crumbs, Coatings', 'Canned & Powdered Milk', 'Cooking Oils & Shortening', 'Cooking Starches', 'Cooking Wine & Vinegar', 'Dough & Pie Crusts', 'Eggroll & Dumpling Wrappers', 'Extracts & Food Coloring', 'Flours, Meals', 'Frosting, Icing, & Edible Decorations', 'Gelatin', 'Honey & Syrups', 'Marshmallow', 'Oil Sprays', 'Pie & Pastry Filling', 'Shortening & Lard', 'Starter Cultures', 'Sugar', 'Sugar Substitutes & Sweeteners'], ['Coffee', 'Drink Mixers & Syrups', 'Flavored & Enhanced Water', 'Fruit Flavored Drinks', 'Meal & Breakfast Drinks', 'Protein Shakes (ready-to-drink)', 'Smoothies', 'Sports & Energy Drinks'], ['Bran & Wheat Germ', 'Breakfast Bars', 'Breakfast Biscuits', 'Cereal', 'Granola', 'Hot Cereal & Oats', 'Muesli', 'Pancake, Crepes & Waffle Mix', 'Puffed Grain Cereal', 'Toaster Pastries'], ['Candied & Chocolate Covered Snacks', 'chocolate bars & candy'], ['Condiments & Sauces', 'Croutons', 'Fermented Goods', 'Hot Sauces', 'Jams & Fruit Spreads', 'Marinades & Sauces', 'Mayonnaise', 'Mustard', 'Olives', 'Pickles & Peppers', 'Salad Dressings', 'Salad Toppings', 'Seed & Nut Butters', 'Shelf Stable Dips & Spreads', 'Shelf Stable Salsas'], ['Butter', 'Cheese', 'Condensed Milk', 'Cottage Cheese', 'Cream', 'Eggnog', 'Eggs', 'Kefir & Drinkable Yogurt', 'Milk', 'Ricotta & Fondue Cheese', 'Yogurt'], ['Cottage Cheese', 'Cream', 'Egg Substitutes', 'Margarines & Butter Substitutes', 'Milk', 'Plant-based Cheese', 'Plant-based Kefir & Drinkable Yogurt', 'Plant-based Yogurt', 'Ricotta & Fondue Cheese'], ['Dried Beans', 'Dried Grains', 'Other Dried Goods', 'Rice'], ['Pre-Packaged Fruit & Vegetables', 'USDA Vegetable'], ['Frozen Appetizers & Side Dishes', 'Frozen Breads & Dough', 'Frozen Breakfast', 'Frozen Burritos & Breakfast Sandwiches', 'Frozen Desserts', 'Frozen Entrées', 'Frozen Fruits', 'Frozen Herbs', 'Frozen Juice', 'Frozen Meals', 'Frozen Non-Dairy Desserts', 'Frozen Pasta & Noodles', 'Frozen Pizza', 'Frozen Vegetables', 'Ice & Ice Pops', 'Ice Cream'], ['Herbs & Functional Foods'], ['Household Supplies', 'Kitchen & Dining', 'Miscellaneous'], ['Fruit Juice', 'Fruit Punch', 'Juice Blends', 'Lemonade & Lemon Juice', 'Limeade & Lime Juice', 'Nectars', 'Vegetable Juice'], ['Bacon', 'Deli Meats', 'Fish & Seafood', 'Hot Dogs', 'Poultry', 'Sausage'], ['Hot Dogs', 'Plant-based Bacon', 'Plant-based Deli Meats', 'Plant-based Fish & Seafood', 'Plant-based Meat', 'Plant-based Poultry', 'Plant-based Sausage', 'Tempeh', 'Tofu'], ['Media'], ['Apparel & Accessories', 'Toys, Games, & Crafts'], ['Biodegradable Packaging', 'Capsules', 'Glass Bottles', 'Packaging Material', 'Paper Products', 'Plastic Bottles', 'Plastic Products', 'Printing/Soy Inks', 'Recycled Products', 'Reusable Bags'], ['Dry Pasta & Noodles', 'Fresh Pasta & Noodles', 'Instant Noodles', 'Pasta Sauce', 'Pasta Sauce Mixes'], ['Pet Food - Cat', 'Pet Food - Dog'], ['Fats & Oils', 'Fruits & Vegetables', 'Herbs'], ['Dry Seasoning Mixes & Blends', 'Herbs & Spices', 'Pepper', 'Salt', 'Wet Seasoning Mixes & Blends'], ['Caramels & Toffee', 'Cereal & Granola Bars', 'Chips', 'Crackers', 'Dried Fruit', 'Energy & Nutrition Bars', 'Fruit Snacks', 'Nuts & Seeds', 'Other Snacks', 'Rice Cakes', 'Snack Cakes', 'Trail Mix & Snack Mixes', 'Vegetable Snacks'], ['Canned & Jarred Vegetables', 'Canned & Prepared Beans', 'Canned Fruit & Applesauce', 'Canned Meals', 'Canned Meat', 'Canned Seafood', 'Canned Soups', 'Condensed Soup'], ['Fitness & Weight Management', 'Hair, Skin & Nail Supplements'], ['Minerals', 'Multivitamins', 'Vitamins']]
53	Aevo Organic Avacado Oil	Booth: 1926	['Jimma,', 'Ethiopia', 'Ethiopia']	An Award Winning Grower, Processor, & Supplier of Organic Beans & Organic Pulses, Organic Rice, Organic Flours, Organic Cooking Oil,  Organic Spices, Organic Tree Nuts, & Organic Superfoods.  We invite you to capitalize on our star brand ranking, winning 400 million plus consumer's smile & our unique infrastructure on both sides of the ocean in bringing you unique consumer delight and unique certified organic products range covering almost entire Kitchen Pantry under one umbrella.	Brands: Organic Tattva	['Special Attributes']	[['Allergy Free', 'Full Line Organic', 'Gluten/Wheat Free']]
54	AG Health	Booth: 4554	['Seoul,', 'Korea, Republic of']	N/A	N/A	['Herbs & Functional Foods', 'Supplements', 'Vitamins & Minerals']	[['Herbs & Functional Foods'], ['Amino Acids', 'Antioxidants', 'Collagen', 'Eye Health Supplements', 'Fitness & Weight Management', 'Glucosamine & Joint Health', 'Hair, Skin & Nail Supplements', 'Melatonin & Sleep Aids', 'Omegas, Fish Oil & EFAs', 'Probiotics & Digestion'], ["Children's Vitamins", 'Minerals', 'Multivitamins', 'Vitamins']]
55	Ageless Foundation Laboratories	Booth: 3162	['Ontario,', 'CA', 'United States']	N/A	N/A	[]	[]
56	AGQ Labs	Booth: 1678	['Oxnard,', 'CA', 'United States']	AGQ Labs is an ISO-17025 Accredited food laboratory that specializes in Heavy Metal, Pesticide Residue, and Nutritional Facts testing.  Our focus on customer service, competitive pricing, and quick turnaround times make us a stand out option for food industry testing needs.	N/A	['Services']	[['Analytical Laboratories', 'Consulting', 'Customer Services']]
57	Agro Farm LLC	Booth: 1698	['Bentonville,', 'AR', 'United States']	N/A	N/A	[]	[]
58	Agrofirma Pole Ltd	Booth: 2160	['Cherkasy,', 'Ukraine']	N/A	N/A	[]	[]
59	Agronic Food, (Pvt) Ltd.	Booth: 1407	['Jodhpur,', 'Rajasthan', 'India']	Agronic food's range comprises over 250+ products. The team at Agronic Food works closely with 40,000 farmers enabling and encouraging them towards sustainable organic farming. Every activity thereafter with regard to producing, processing and exporting done with strict adherence to stringent quality norms & practices.At Agronic Food Pvt. Ltd, we provide pure, great-tasting organic grains, spices, herbs, cereals, oils & much more that consumers rely on the cornerstone of their nutritional health	N/A	['Raw Ingredients', 'Special Attributes']	[['Herbs'], ['Full Line Organic', 'Kosher/Parve', 'Organic Ingredients']]
60	AGT Foods	Booth: 5149	['Bismarck,', 'ND', 'United States']	N/A	Brands: Veggipasta, Veggicrumb, Veggimeal	['Special Attributes', 'Dried Beans, Rice & Grains', 'Meat Alternatives', 'Pasta Sauce & Noodles', 'Raw Ingredients']	[['Gluten/Wheat Free', 'Kosher/Parve', 'Vegan'], ['Dried Beans', 'Dried Grains'], ['Plant-based Meat'], ['Dry Pasta & Noodles'], ['Branded Ingredients', 'Fruits & Vegetables', 'Proteins/Amino Acids', 'Starch & Dextrin']]
61	Agua del Alma	Booth: 4593	['Healdsburg,', 'CA', 'United States']	N/A	N/A	[]	[]
