0	(re)zip	Booth: N2046	['Austin,', 'TX', 'United States']	Rezip Co. designs thoughtful products to help  consumers live a simpler, greener lifestyle. (re)zip® Reusable Storage Bags are the original  food-safe, lightweight, leakproof, freezer-safe  reusable bags. They are designed to simplify  food storage, and make it easy  for consumers to consciously reduce single-use  plastic baggies. (re)zip Reusable Storage Bags  are available in an assortment of sizes and styles  to accommodate a variety of uses including food  prep, pantry storage, organization, and more	Brands: Rezip	['Home', 'Pet', 'Special Attributes']	[['Household Supplies', 'Kitchen & Dining', 'Miscellaneous'], ['Pet Food - Cat', 'Pet Food - Dog'], ['Sustainability']]
2235	Sunberry Farms	Booth: 798	['Farmington Hills,', 'MI', 'United States']	N/A	N/A	[]	[]
2236	SunButter	Booth: 911	['Fargo,', 'ND', 'United States']	SunButter is a healthy, Top 8 Allergen free sunflower spread sold at retail, foodservice, and industrial levels. Our facilities are Top 8 Allergen free, ensuring product our consumers can truly trust. SunButter can be enjoyed with fruits, veggies, sandwiches and in many of your favorite recipes.   We source our kernel from our sister companies, Red River Commodities and Global Ingredients, who specialize in processing, roasting and pasteurizing of sunflower, pumpkin, flax, millet and more.	Brands: SUNBUTTER RED RIVER PURE (non-thermal pasteurized food ingredients)	['Special Attributes']	[['Allergy Free', 'Dairy Free', 'Egg Free', 'Gluten/Wheat Free', 'Kosher/Parve', 'Trans Fat Free', 'Vegan']]
2237	Sunland Nutrition, Inc.	Booth: 3977	['Aliso Viejo,', 'CA', 'United States']	N/A	N/A	['Baking & Cooking Ingredients', 'Beverages', 'Pet', 'Raw Ingredients', 'Special Attributes', 'Supplements', 'Vitamins & Minerals']	[['Baking Powder, Baking Soda & Yeast', 'Cooking Starches', 'Extracts & Food Coloring', 'Gelatin', 'Honey & Syrups', 'Sugar', 'Sugar Substitutes & Sweeteners'], ['Drink Mixers & Syrups', 'Flavored & Enhanced Water', 'Fruit Flavored Drinks', 'Meal & Breakfast Drinks', 'Powdered Drink Mixes', 'Protein Shakes (ready-to-drink)', 'Smoothies', 'Sports & Energy Drinks'], ['Pet Food - Cat', 'Pet Food - Dog'], ['**flavors', 'Activated/Metabolite Forms', 'Branded Ingredients', 'Fruits & Vegetables', 'Herbs', 'Omega-3', 'Other', 'Probiotics', 'Proteins/Amino Acids', 'Single Element Minerals', 'Specialty Peptides', 'Starch & Dextrin', 'Sugar', 'Vitamins'], ['Kosher/Parve', 'Organic Food & Bev', 'Organic Ingredients', 'Specialty/Gourmet', 'Sustainability', 'Vegan'], ['Amino Acids', 'Antioxidants', 'Collagen', 'Omegas, Fish Oil & EFAs', 'Probiotics & Digestion', 'Superfood & Greens Blends'], ["Children's Vitamins", 'Minerals', 'Multivitamins', 'Vitamins']]
2238	SUNLIT FOODS	Booth: N2312	['Seoul,', 'Korea, Republic of']	N/A	N/A	['Frozen', 'Meat Alternatives', 'Special Attributes']	[['Frozen Meals'], ['Plant-based Deli Meats', 'Plant-based Meat'], ['Soy Foods', 'Trans Fat Free', 'Vegan']]
2239	Sunny Fine Foods Inc.	Booth: N1262	['Sherman Oaks,', 'CA', 'United States']	N/A	N/A	[]	[]
2240	Sunny Sky Products	Booth: 231	['Houston,', 'TX', 'United States']	N/A	N/A	[]	[]
2241	Sunnygem LLC	Booth: 795	['Wasco,', 'CA', 'United States']	N/A	N/A	[]	[]
2242	SunOpta	Booth: 717	['Eden Prairie,', 'MN', 'United States']	SunOpta specializes in the sourcing, processing and packaging of identity preserved, non-GMO, organic and specialty foods. Our integration from seed through packaged products, supported by our global sourcing and supply chain development allows for the highest quality and value, which makes SunOpta unique in the natural foods industry.	Brands: SOWN, Westsoy, Dream, Sunrise, OatGold	['Frozen', 'Special Attributes']	[['Frozen Juice'], ['Dairy Free', 'Organic Processed/Packaged', 'Soy Beverages']]
2243	SunRidge Farms	Booth: 1104, F103	['Royal Oaks,', 'CA', 'United States']	SunRidge Farms offers unique and delicious natural, organic, Non-GMO and Fair Trade candies, nuts, trail mixes, snacks and more. We offer bulk packs as well as  a full line of recently re-designed RECYCLABLE bags and tubs! Creative and exciting new SunRidge Farms products are continually introduced. Contact us for more information and visit us at Expo WEST 2022 Booth# 2325.	Brands: SunRidge Farms	['Special Attributes']	[['Convenience', 'Full Line', 'Full Line Organic', 'Kosher/Parve']]
2244	Sunrise Commodities	Booth: 1695	['Englewood Cliffs,', 'NJ', 'United States']	Sunrise Commodities is one of the leading importers of dried fruit in the United States. Our collective 75 years of experience has provided us with a vast knowledge of the commodities we handle. Our goal is simply to provide the best quality product at a competitive price. We pride ourselves on furnishing accurate market information and buying advice. Look for our our booth to know more about us.......	N/A	[]	[]
2245	Sunshine (Tianjin) Produce, Ltd.	Booth: 952	['Tianjin,', 'Tianjin', 'China']	Sunshine was established in 1992, is the leading manufacturer in both conventional and organic seeds, nuts, ingredients and dried fruits in China.With the state-of-art facilities, we are the global supplier for bakery industry, breakfast cereal industry,sanck factories and protein extract industry...etc.	Brands: Sunshine's Philosophy is of " Specialty,Safety and Reliability" to supply customers"Health,Quality and Delicious" products.	['Special Attributes', 'Raw Ingredients']	[['Organic Food & Bev', 'Organic Ingredients'], ['Other', 'Other', 'Branded Ingredients']]
2246	Sunsweet	Booth: 313	['Yuba City,', 'CA', 'United States']	Sunsweet Naturals including preservative-free Organic D’Noir Prunes & NEW zero added sugar dried cherries & blueberries. Launching in 2023 is Sierra Trail Bites, bite sized snacks made with dates, nuts, & seeds. Herbal Water is delicious herbal infused waters with 0 calories and sugar. Function is a unique plant-based hydro-energy drink line. Finally, Botania combines prune & plum juice for gut health plus herbs & botanicals to enhance wellness & immunity.	Brands: Sunsweet, Sierra Trail Bites, Herbal Water, Function Drinks, Botania	['Special Attributes']	[['Functional Beverage', 'Functional Food']]
2247	Sunwarrior	Booth: N1022	['Washington,', 'UT', 'United States']	Sunwarrior is committed to making the best plant-based proteins and super-food supplements. Our mission to illuminate body, mind and planet drives everything we do from sourcing the finest organic ingredients across the globe, and educating the masses on the power of plants, to utilizing recycled and recyclable packaging. It's who we are. Together we can transform the planet, one warrior at a time.	Brands: Warrior Blend Protein Active Sport Line Shape Weight Line Protein Bars	['Raw Ingredients', 'Special Attributes']	[['Proteins/Amino Acids'], ['Vegan']]
2248	Super Karma LLC DBA Masala Gossip	Booth: 8222	['San Ramon,', 'CA', 'United States']	N/A	N/A	[]	[]
2249	Supergut	Booth: 8310	['Los Angeles,', 'CA', 'United States']	N/A	N/A	[]	[]
2250	Superior Foods International	Booth: N514, N516	['Watsonville,', 'CA', 'United States']	N/A	N/A	['Frozen']	[['Frozen Entrées', 'Frozen Vegetables', 'Frozen Pizza']]
2251	Superior Lithographics	Booth: 5434	['Los Angeles,', 'CA', 'United States']	Superior is an "AA+" BRC Food-Safe rated packaging manufacturer focused on supplying food, beverage and CPG companies with printed folding cartons and design solutions. Our vision is to understand your business and present solutions that keep you focused on your growth, while our technical support teams guarantee our packaging to run seamlessly through your operations. Located in the heart of Los Angeles, we are set up for easy access and quick service response to the entire Western US.	N/A	['Packaging']	[['Biodegradable Packaging', 'Packaging Material', 'Paper Products', 'Printing/Soy Inks', 'Recycled Products']]
2252	Supernatural Inc	Booth: 8415	['New York,', 'NY', 'United States']	N/A	N/A	['Baking & Cooking Ingredients', 'Special Attributes']	[['Baking & Cooking Mixes', 'Baking Chips & Chocolate', 'Extracts & Food Coloring', 'Frosting, Icing, & Edible Decorations'], ['Allergy Free', 'Dairy Free', 'Egg Free', 'Food Service Ready', 'Gluten/Wheat Free', 'Kids', 'Kosher/Parve', 'Organic Ingredients', 'Special Diet', 'Specialty/Gourmet', 'Vegan']]
2253	SuperWow	Booth: 8407	['Los Angeles,', 'CA', 'United States']	N/A	N/A	[]	[]
2254	Supplement Manufacturing Partner, Inc.	Booth: 4557	['Edgewood,', 'NY', 'United States']	N/A	N/A	[]	[]
2255	SupplyPike	Booth: 3171	['Rogers,', 'AR', 'United States']	N/A	N/A	[]	[]
2256	Surdy Sauce	Booth: 7918	['Liberty Lake,', 'WA', 'United States']	N/A	N/A	[]	[]
2257	SurfSnax	Booth: N1433	['hialeah,', 'FL', 'United States']	N/A	N/A	[]	[]
2258	Suzanne's Specialties, Inc.	Booth: 1668	['New Brunswick,', 'NJ', 'United States']	Organic & Natural Sweeteners including rice syrup, honey, molasses, Ricemellow Creme, agave, agave inulin fiber, rice protein, rice syrup solids, barley malt, evaporated cane juice, and more. Retail to bulk quantities available.	Brands: Suzanne's Specialties	['Raw Ingredients', 'Special Attributes']	[['Starch & Dextrin', 'Sugar'], ['Dairy Free', 'Kosher/Parve', 'Organic Ingredients', 'Vegan']]
2259	Sweet Additions	Booth: 1433, N1224	['Palm Beach Gardens,', 'FL', 'United States']	We are an ingredient company that produces and markets natural and organic cane and grain based sweeteners and starch derivatives. Our products include Non-GMO Glucose Syrup, Rice Syrup, Rice Syrup Solids, Rice Maltodextrins, Rice Protein, Tapioca Syrup, Tapioca Syrup Solids, Tapioca Maltodextrins, Organic Sugar, Evaporated Cane Juice, Evaporated Cane Juice Medium Invert Syrup, Evaporated Cane Juice Syrup and Organic Brown and White Rice Flour.	N/A	['Raw Ingredients', 'Special Attributes', 'Bakery', 'Baking & Cooking Ingredients', 'Dairy Alternatives', 'Frozen', 'Juice', 'Other Products & Services', 'Pasta Sauce & Noodles', 'Pet', 'Snacks', 'Soups & Canned Goods']	[['Other', 'Proteins/Amino Acids', 'Branded Ingredients', 'Derivatives', 'Starch & Dextrin', 'Sugar'], ['Organic Ingredients', 'Allergy Free', 'Cruelty-Free', 'Dairy Free', 'Dietetic', 'Egg Free', 'Full Line Organic', 'Functional Beverage', 'Functional Food', 'Gluten/Wheat Free', 'Kids', 'Kosher/Parve', 'Low Carb', 'Organic Dairy', 'Organic Food & Bev', 'Special Diet', 'Specialty/Gourmet', 'Sustainability', 'Trans Fat Free', 'Vegan'], ['Buns', 'Cakes', 'Cookies', 'Cupcakes', 'Dessert Bars', 'Donuts', 'Fudge', 'Ice Cream Cones', 'Muffins', 'Pastries & Scones', 'Pie Crusts & Pastry Sheets', 'Pies & Tarts', 'Waffles'], ['Baking & Cooking Mixes', 'Baking & Cooking Pastes', 'Cooking Starches', 'Honey & Syrups', 'Sugar', 'Sugar Substitutes & Sweeteners'], ['Milk', 'Plant-based Yogurt'], ['Frozen Appetizers & Side Dishes', 'Frozen Breads & Dough', 'Frozen Breakfast', 'Frozen Burritos & Breakfast Sandwiches', 'Frozen Desserts', 'Frozen Entrées', 'Frozen Fruits', 'Frozen Herbs', 'Frozen Juice', 'Frozen Meals', 'Frozen Non-Dairy Desserts', 'Frozen Pasta & Noodles', 'Frozen Pizza', 'Frozen Vegetables', 'Ice & Ice Pops', 'Ice Cream'], ['Juice Blends'], ['Organic Gels'], ['Pasta Sauce', 'Pasta Sauce Mixes'], ['Pet Food - Cat', 'Pet Food - Dog'], ['Caramels & Toffee', 'Cereal & Granola Bars', 'Chips', 'Crackers', 'Dried Fruit', 'Energy & Nutrition Bars', 'Fruit Snacks', 'Jerky', 'Mint & Gum', 'Other Snacks', 'Popcorn & Puffs', 'Pretzels', 'Pudding, Mousse & Gelatin Snacks', 'Rice Cakes', 'Snack Cakes', 'Trail Mix & Snack Mixes', 'Vegetable Snacks'], ['Canned & Jarred Vegetables', 'Canned & Prepared Beans', 'Canned Fruit & Applesauce', 'Canned Meals', 'Canned Meat', 'Canned Soups', 'Soup Mixes']]
2260	Sweet Craft	Booth: 8009	['Oceanside,', 'CA', 'United States']	N/A	N/A	[]	[]
2261	Sweet Haven	Booth: N2335	['Oak Park,', 'IL', 'United States']	Sweet Haven was born out of our need for balance… for when you want to have your cake & eat it too, without all the extra bad stuff. Made in Europe, under the strictest of food standards... you can be confident that every bite of Sweet Haven is not only delicious but has the best of ingredients. Sweet Haven master confectioners searched the world to find the best ingredients and textures that will excite your taste buds, while being both Better for You and Better for Earth. 	Brands: Sweet Haven	[]	[]
2262	Sweet Loren's, Inc.	Booth: 5580	['New York,', 'NY', 'United States']	Sweet Loren's is the #1 better-for-you brand, and the #3 cookie dough brand in the United States.  Sweet Loren's has disrupted the category by offering delicious cookie dough with clean ingredients consumers are demanding. Sweet Loren's delivers a taste rivaling traditional brands while offering benefits such as: Certified Gluten Free, Certified Vegan, Non-GMO Project Verified, Nut Free, 100% Whole Grain, Kosher Pareve, and only simple ingredients. For more information, visit sweetlorens.com.	Brands: Sweet Loren's	['Special Attributes', 'Frozen']	[['Allergy Free', 'Dairy Free', 'Egg Free', 'Kosher/Parve', 'Vegan', 'Gluten/Wheat Free'], ['Frozen Desserts']]
2263	Sweet Nothings	Booth: 5168	['Menlo Park,', 'CA', 'United States']	N/A	N/A	['Breakfast', 'Frozen', 'Snacks']	[['Breakfast Bars'], ['Frozen Breakfast', 'Frozen Desserts', 'Frozen Fruits'], ['Energy & Nutrition Bars']]
2264	Sweet Paradise Fine Foods	Booth: 8718	['Hayward,', 'CA', 'United States']	N/A	N/A	[]	[]
2265	Sweetkiwi	Booth: N1449	['WASHINGTON,', 'DC', 'United States']	N/A	N/A	[]	[]
2266	SweetLeaf	Booth: N1227	['Gilbert,', 'AZ', 'United States']	The only stevia brand to be named Top Wellness Company and to win 36 international awards for taste, innovation, and sustainability, Wisdom Natural Brands® (WNB), makers of SweetLeaf® and Wisdom of the Ancients® , will be featuring some its best stevia and monk fruit product lines at Expo West 2023. From its redesigned powder packaging, to their family favorite Water Drops, and their baking line of granular Monk Fruit, they have a lot to talk about and fun items to sample!	Brands: SweetLeaf®	['Special Attributes']	[['Functional Beverage', 'Kosher/Parve', 'Low Carb', 'Organic Ingredients']]
2267	Sweety Ice Cream - Mochi Ice Cream	Booth: N436	['Monterey Park,', 'CA', 'United States']	Sweety mochi ice cream is a traditional Japanese treat, with a Golden State twist. We use farm fresh California milk to craft our creamy, deeply-flavorful ice creams, then bundle them into soft, perfectly chewy rice dough. We believe in simple and quality ingredients like locally sourced rice flour, rBST/rBGH-free milk, non-GMO Matcha powder and Madagascar Vanilla, Alphonso mangoes and Dutch processed cocoa. We never use preservatives, artificial colors, corn syrup or added flavors.	N/A	['Frozen', 'Special Attributes']	[['Ice Cream'], ['Gluten/Wheat Free']]
2268	SWISS IMPORTS	Booth: 4769	['Cincinnati,', 'OH', 'United States']	N/A	Brands: SWISS PREMIUM BRANDS: GRETHER'S PASTILLES (For Voice & Throat), PULMOLL (Natural, for Licorice Lovers), CURAPROX TOOTHBRUSHES (10X More Bristles!), NO-JET-LAG (Homeopathic), HALTER BONBONS (No After Taste), PERNATON GEL (Joint Care)	['Cosmetics Personal Care', 'Special Attributes']	[['Oral Care'], ['Kosher/Parve']]
2269	Swoon	Booth: 5696	['New York,', 'NY', 'United States']	We are on a mission to take sugar down while keeping life sweet.  For us, it’s personal.  Our co-founder Jen was diagnosed with  Type 1 Diabetes when she was six years old.  When her best friend Cristina became a mom, they set out to change things. Swoon makes your favorite drinks better, ranging from the lemonade, to iced tea, to cocktails.  With all flavor and no sugar, you can always go on, have another.  	Brands: Swoon Lemonade	[]	[]
2270	Symphony Beauty	Booth: 2783	['Brentwood,', 'NY', 'United States']	N/A	N/A	[]	[]
2271	Synear Foods USA	Booth: 8808	['Chatsworth,', 'CA', 'United States']	N/A	N/A	[]	[]
2272	T.H.E.M./Sanko North America	Booth: 5579	['Marlton,', 'NJ', 'United States']	The home of the Stick Pack. T.H.E.M. is North America’s premier contract packager for single-serve products and distributor of stick pack, packet, and sachet packaging machinery.  For the past 25 years, T.H.E.M. has exclusively represented Sanko Machinery, Japan’s leader in single-serve packaging equipment and the inventor of stick packs.  Operating as both the OEM manufacturer and a contract packager allows T.H.E.M. to give our clients the most comprehensive perspective for their project.	Brands: Sanko Machinery	['Condiments & Sauces', 'Cosmetics Personal Care', 'Services', 'Special Attributes']	[['Condiments & Sauces', 'Salad Dressings'], ['Deodorant & Anti-Perspirant'], ['Contract Manufacturing'], ['Organic Food & Bev']]
2273	Tabanero Holdings	Booth: 694	['Delray Beach,', 'FL', 'United States']	N/A	Brands: Tabanero	['Special Attributes']	[['Cruelty-Free', 'Dairy Free', 'Gluten/Wheat Free', 'Low Carb', 'Specialty/Gourmet', 'Vegan']]
2274	Táche Pistachio Milk	Booth: N1447	['New York,', 'NY', 'United States']	N/A	N/A	['Beverages', 'Dairy Alternatives']	[['Coffee'], ['Milk']]
2275	Tacodeli	Booth: 8205	['Austin,', 'TX', 'United States']	N/A	N/A	[]	[]
2276	Tahitian Gold Co., Inc.	Booth: 1029	['Signal Hill,', 'CA', 'United States']	Tahitian Gold specializes in providing high-quality vanilla products for natural food enthusiasts in both food service and retail. Our premium ingredients are preferred by professional bakers, chefs, and ingredient purists. We use a proprietary grinding process to retain all the flavor compounds of freshly cured vanilla beans, which results in exceptional flavor and zero waste. Explore the versatility of our Ground Vanilla Beans, Pastes, Extracts, Sugar, Fleur de Sel, and unique blends.	Brands: Tahitian Gold Co ['Raw Ingredients', 'Special Attributes']	[['**flavors'], ['Allergy Free', 'Cruelty-Free', 'Food Service Ready', 'Organic Ingredients', 'Specialty/Gourmet', 'Vegan']]
2277	Taika	Booth: N337	['Walnut,', 'CA', 'United States']	N/A	N/A	[]	[]
2278	Taiwan First Biotechnology, Inc.	Booth: 2699D	['Chiayi County,', 'Taiwan']	 Taiwan First Biotechnology is founded in 1998 specilalized in OEM/ODM production of shelf stable diversified value-added beverages. We have 3 state-of-art "aseptic cold-filling" PET production line that reach 15 MM cases and 1 tetra production line with annual production capacity of 3 MM cases. We pioneer Taiwan's first enzyme conversion technology integrated aseptic cold-filling PET production line to produce value added drinks such as functional oat drinks, lactose reduced dairy, and cereal-based beverages. 	Brands: Frescafina -Target on drinkable breakfast -Nutrient-balanced, low fat, fiber and protein -Multi-flavors, pairing with breakfast favorites including refreshing fruits, toasted nuts, and trendy healthy grains.	['Services', 'Special Attributes']	[['Contract Manufacturing'], ['Dietetic', 'Functional Beverage']]
2279	Taiwan Hon Chuan Enterprise Co., Ltd.	Booth: 2657	['Taichung,', 'Taiwan']	N/A	N/A	['Packaging', 'Services']	[['Packaging Material', 'Plastic Bottles', 'Plastic Products', 'Recycled Products'], ['Contract Manufacturing']]
2280	Takari International, Inc.	Booth: 1680	['Ontario,', 'CA', 'United States']	Importer and Distributor of Organic and Natural products all about Coconut from Coconut Cream, Coconut Milk, Coconut Water, Coconut Sugar, Coconut Powder, Coconut Dessert, Coconut MCT Oil, Coconut Sugar and Other items include Tempeh Chips, Soursop juices, Ashitaki healthy noodle, Butter Cookies, Organic Herbal Tea.	Brands: COCO SUGAR, DANISA , D'NATURAL, KARA, MUSTIKA RATU, TAKARI	['Special Attributes']	[['Dairy Free', 'Ethnic', 'Food Service Ready', 'Gluten/Wheat Free', 'Kosher/Parve', 'Specialty/Gourmet', 'Vegan']]
2281	Talya Herbal	Booth: 3308	['Antalya,', 'Antalya', 'Türkiye']	Talya Herbal produce many items in herbal products sector, such as natural oils and butters, aromatherapy blends, care serums, bee products and honey mixtures, dietary supplements and vitamins, hydrolates and special products.    Production facility is located in Antalya/Turkey, which hosts an average of twelve thousand types of endemic plants. Talya Herbal exports its products 25 countries in the world.	Brands: Talya	[]	[]
2282	Tangled Brands Inc.	Booth: 8123	['Brooklyn,', 'NY', 'United States']	N/A	N/A	[]	[]
2283	Tarazi Specialty Foods	Booth: N1944	['Chino,', 'CA', 'United States']	Tarazi is the leader in Mediterranean foods. Our Falafel Mix and Tahini were created using a traditional family recipes and are requested by name as the product of choice in select restaurants and kitchens worldwide. We continue to use only the finest ingredients of the highest quality to bring the traditional flavors of the Mediterranean home to you. We know you have a choice when it comes to your Mediterranean foods and, from our family to yours, we thank you for choosing Tarazi.	Brands: Tarazi	['Special Attributes']	[['Allergy Free', 'Dairy Free', 'Kosher/Parve', 'Specialty/Gourmet', 'Vegan', 'Gluten/Wheat Free', 'Ethnic/Multicultural', 'Organic Ingredients']]
2284	TARTUFLANGHE	Booth: N2241	['Union,', 'NJ', 'United States']	N/A	N/A	['Baking & Cooking Ingredients', 'Condiments & Sauces', 'Pasta Sauce & Noodles', 'Raw Ingredients', 'Seasonings & Spices', 'Snacks']	[['Honey & Syrups'], ['Condiments & Sauces', 'Hot Sauces', 'Mayonnaise', 'Mustard', 'Shelf Stable Dips & Spreads'], ['Dry Pasta & Noodles', 'Pasta Sauce'], ['Fruits & Vegetables'], ['Dry Seasoning Mixes & Blends', 'Salt'], ['Chips', 'Crackers', 'Fruit Snacks', 'Nuts & Seeds']]
2285	Tash Market Place Inc.	Booth: 2992	['commerce,', 'CA', 'United States']	N/A	N/A	[]	[]
2286	Taste of Nature	Booth: 5539	['Markham,', 'ON', 'Canada']	We are Taste of Nature, a Canadian company established in 1989. We develop and manufacture certified organic, non-GMO, gluten-free, kosher, and vegan snack bars/bites and private label products. We use only the best ingredients –real nuts, and organic fruit, with no fillers, additives, or artificial products.  When you choose a Taste of Nature snack bar, you’re making a smart choice for your body and your taste buds!	Brands: Taste of Nature	['Services', 'Special Attributes']	[['Contract Manufacturing'], ['Convenience', 'Gluten/Wheat Free', 'Kosher/Parve', 'Organic Processed/Packaged', 'Vegan']]
2287	Taste Republic	Booth: 5077	['Madison,', 'WI', 'United States']	Taste Republic creates delicious, nourishing and functional food to improve the lives of others. We take a collaborative approach to our relationships, knowing that when our customers succeed, we succeed. Taste Republic is the BEST tasting gluten-free pasta on the market and we are excited to have you taste the difference.	Brands: Tribe 9 creates delicious, nourishing, and functional food to improve the lives of others.  Taste Republic: Fresh Gluten-Free Pasta	['Services', 'Special Attributes']	[['Contract Manufacturing'], ['Dairy Free', 'Gluten/Wheat Free', 'Organic Ingredients', 'Specialty/Gourmet']]
2288	Tatemada	Booth: 8613	['Weslaco,', 'TX', 'United States']	TATEMADA® is a clean label Salsa and Oven Baked Totopos manufacturer/producer in South Texas.By purchasing TATEMADA® you are supporting our short-term future mission to empower women through a safe and dignified work environment in rural communities in México by cultivating and harvesting our produce.   OUR ESSENCE Be a force of change in the global food industry by leading boldly & compassionately. Elevating consciousness in green, clean, sustainable sourcing, manufacturing & distribution.	Brands: TATEMADA®	['Special Attributes']	[['Ethnic/Multicultural', 'Food Service Ready', 'Gluten/Wheat Free', 'Low Carb', 'Specialty/Gourmet']]
2289	Taylor Pass Honey Co.	Booth: N149	['Blenheim,', 'New Zealand']	Taylor Pass in New Zealand is a gateway to some of the world's wildest environments.  Sustainably capturing the true essence and remarkable flavors of this awe-inspiring land, Taylor Pass Honey is B Corp Certified, Non-GMO verified, NZ origin certified & independently lab tested.  Our Manuka honey is given the Unique Manuka Factor (UMF) Trustmark rating for healing potency.  A vertically integrated and ethical company, we are proud to share the finest natural flavors of our land. Taste a World of Good 	Brands: Taylor Pass Honey Co	['Special Attributes', 'Baking & Cooking Ingredients']	[['Convenience', 'Functional Food', 'Gluten/Wheat Free', 'Specialty/Gourmet', 'Kosher/Parve', 'Sustainability'], ['Honey & Syrups']]
2290	TCHO Chocolate	Booth: 5088	['Berkeley,', 'CA', 'United States']	Founded in 2007, TCHO Chocolate crafts award-winning & imaginative chocolate by collaborating directly with cocoa farmers at flavor labs across the world to grow better, more consistent cacao beans to create authentic craft chocolate to inspire the world’s chefs, hobby bakers, & chocolate enthusiasts. Certified B Corp as a result of TCHO's sustainability efforts through the TCHO Source Program & work to improve the lives of everyone across the supply chain while changing the chocolate industry.	Brands: TCHO TCHO Chocolate	['Special Attributes']	[['Cocoa', 'Dairy Free', 'Gluten/Wheat Free', 'Organic Food & Bev', 'Organic Ingredients', 'Vegan']]
2291	Tea Botanics	Booth: N2331	['Los Angeles,', 'CA', 'United States']	Tea Botanics produces age-wellness teaceuticals that address the body and brain health needs for women leading up to and including menopause. GABA infusion is our “meno-magic”. GABA is a natural hormone regulator in the brain that decreases as we age.  This insight led Dr. Pei Vuong, Ph.D, co-founder, certified naturopath and scientist to discover the secret cause of hot flashes and night sweats and used his passion and knowledge of medicine  to tap into the healing properties of tea.	Brands: Hot Flash Tea Night Sweat Tea Happiness Tea Brain Fog Tea	['Special Attributes']	[['Anti-Aging', 'Full Line Organic', 'Functional Beverage', 'Organic Food & Bev', 'Organic Ingredients']]
2292	Tea Worldwide, Inc.	Booth: 8705	['Miami,', 'FL', 'United States']	N/A	N/A	[]	[]
2293	TeaAroma Inc.	Booth: 4393	['Carson,', 'CA', 'United States']	DongSuh Companies Inc. is established in 1975.Trying our best to bring the very finest quality of Korean Tea to the world markets.With more than 20years of dedication to the Korean domestic market.Motto to " Create the Best Tea with the Best Quality".	Brands: Maxpresso, April's Green Tea & Beyond Nature	[]	[]
2294	teapigs	Booth: 1576	['Montvale,', 'NJ', 'United States']	we believe in something pure and simple - no airs. no graces. just fine tea.   We love tea; we just don't love the snobbery that can come with it. Instead we concentrate on bringing you the very highest quality tea we can find and not taking ourselves too seriously. We've handpicked a select range that offers you the chance to discover the wonderfully diverse world of tea, sourced from sustainable estates, and packaged using zero plastic.	N/A	['Special Attributes']	[['Functional Beverage']]
2295	Teeccino	Booth: 534	['Santa Barbara,', 'CA', 'United States']	Experience rich, bold taste and maximum wellness in your cup!  Teeccino is the most-loved brand of coffee alternatives on the market and premier line of roasted herbal teas.  Teeccino manufactures and sells unique herbal blends that support the pursuit of optimal health for people and the planet. We specialize in working with impoverished communities where economic opportunities are scarce specifically in Central America where we pioneered the collection and export of the ramon seed.  	Brands: Mushroom Adaptogen Herbal Coffees & Teas Prebiotic Superboost Herbal Coffees & Teas Dandelion Herbal Coffee & Teas Chicory Herbal Coffees & Teas Certified Organic • Gluten Free • Caffeine Free • Acid Free • Kosher	['Special Attributes']	[['Functional Beverage', 'Gluten/Wheat Free', 'Organic Food & Bev', 'Organic Ingredients', 'Specialty/Gourmet']]
2296	Tejava	Booth: 4787	['Burlingame,', 'CA', 'United States']	Crystal Geyser® Water Company was founded in 1977, producing America's first domestic natural sparkling mineral water in the heart of the Napa Valley. Our highest priority has always been to preserve and maintain the water’s refreshing, natural character.   We produce Sparkling Spring and Mineral water and Tejava Unsweetened Tea.  Our beverages are all-natural with no added sweeteners or preservatives.  	Brands: CG Sparkling Water, Juice Squeeze, Tejava Premium Tea, 1977 Sparkling Mineral Water	[]	[]
2297	Tenka Pack	Booth: 572	['Chino,', 'CA', 'United States']	Pack Plus Converting is your source for countless flexible packaging solutions! Our high-quality packaging ranges in capacity from 1 oz. to 40 lb. and is available in-stock in a variety of styles including: stand up pouches, gusseted bags, flat pouches, roll stock and paper bags. Branding and package customization is made easy with our convenient hot stamping, labeling, or custom printing services. Contact a knowledgeable sales rep today to discuss your specific needs!	Brands: Packaging materials-pouches, bags, and accessories.	['Packaging']	[['Biodegradable Packaging', 'Other', 'Packaging Material', 'Paper Products', 'Plastic Products', 'Printing/Soy Inks', 'Recycled Products', 'Reusable Bags']]
2298	Terra Ingredients, LLC	Booth: 1550	['Minneapolis,', 'MN', 'United States']	The Best Ingredients for the Best Brands: Featuring flax, milled flax, fonio, garbs, pulses, ancient grains, and gluten free flours.  Also serving the organic feed markets with organic grains, meals, and our OmegaEdge flax products for poultry, pet, and equine feed applications.	N/A	['Other Products & Services', 'Pet', 'Raw Ingredients']	[['Organic Livestock Feeds'], ['Pet Food - Cat', 'Pet Food - Dog'], ['Omega-3']]
